euclidean centroid cell to district hospital;euclidean centroid cell to any health facility;eulidean centroid cell to kigali;euclidean centroid cell to main road;euclidean centroid cell to any road;Sum_ROAD_Length;SUM ROAD LENGTH PER AREA
14156,20379;5704,469991;34989,66405;158,638582;40,240405;12843,10548;0,001992
9249,209305;2442,819561;32200,96222;1366,009962;75,313012;6999,712663;0,001516
10978,85665;486,329987;24426,6034;617,408429;617,408429;12144,76336;0,000944
12371,78075;5314,956434;25708,07627;3820,012259;254,57841;13010,70841;0,001316
14088,99883;3735,850645;28854,90346;1613,106277;102,286343;17898,30635;0,001318
13909,43498;3339,248634;32242,40717;1483,810386;423,709238;12502,91304;0,000892
10758,77473;1043,449777;30002,05589;2635,8427;845,300373;5567,503483;0,000899
7947,118725;3484,32318;34084,09693;2131,452573;392,877185;5808,26669;0,000768
10701,99942;2235,433354;33310,41608;2738,698607;142,868558;9830,506935;0,001087
13311,29506;4253,622748;32619,76607;4083,667912;80,428753;4625,194723;0,000646
7607,341238;2969,979949;35232,17906;1482,301256;74,048912;10157,48794;0,001042
9999,664245;1299,744515;37803,19058;1216,745046;271,535991;13053,97327;0,000885
11401,23267;3163,733331;54125,29573;7177,69443;700,79575;6015,354227;0,000877
14063,14738;4190,081678;52476,21804;6024,506979;523,539528;14534,88805;0,001487
12116,67128;2155,86762;55705,12751;4211,763032;276,105213;13365,54932;0,00269
8639,315791;1526,72048;50117,45081;2673,975695;828,179404;3332,487893;0,000708
9949,635213;702,93158;50495,01454;1175,023888;143,141876;15253,17765;0,001896
11349,27489;3965,124258;52492,65572;3496,395763;26,836336;11008,33714;0,001807
8967,381342;2065,355754;36007,93878;1878,862613;448,940155;11369,76819;0,001568
6641,433045;3067,988509;37626,51243;468,87319;417,438302;13987,82253;0,001665
17252,13293;3781,271456;41636,1582;435,70688;5,565526;10067,49524;0,000827
20421,27571;2983,230176;49580,26052;465,240258;271,810524;10205,46068;0,00174
20566,7298;1496,083426;44314,70751;662,903682;319,876708;4320,695024;0,001229
18565,94464;4823,943465;45831,04237;1692,690287;491,125959;6209,885217;0,001563
18896,0406;1876,674619;47356,66005;2158,84993;36,431924;9110,205358;0,001549
17581,81871;1961,196327;48689,92226;1450,792984;15,98401;4608,613867;0,000981
16565,16086;3442,784719;48880,02938;3038,642273;124,777167;9270,377382;0,001541
13835,60987;5123,657705;53043,67543;1589,428158;33,524708;11757,73007;0,001708
16466,86924;2482,909254;61270,56096;6190,584363;866,966335;6567,780985;0,000584
15315,2544;1383,801054;55634,77672;1254,896332;88,279992;17799,11533;0,002185
17057,67146;5495,251571;59105,63972;1525,4531;499,072111;7425,121937;0,001185
13058,46169;4875,831244;58157,90004;4092,860699;305,113049;9403,740988;0,001392
14832,20168;4838,91541;40217,32145;89,97044;34,106311;13988,74287;0,002254
15619,40177;2766,736313;36472,92691;660,020226;206,728124;19432,03504;0,002828
5469,57886;5188,601405;34353,64923;493,784968;182,986225;10244,75243;0,001681
10347,40364;4385,936779;36157,77691;2499,408831;358,457896;9589,157032;0,001955
9612,962273;3329,453271;38287,12529;1148,243731;592,307545;9853,718921;0,001357
13809,1167;3775,477547;30815,40413;5649,390041;184,593543;10445,71258;0,000876
16916,10488;4399,886415;32050,58402;2585,008816;475,866617;12373,86685;0,00103
11937,48749;1208,378805;30728,78988;2987,468404;180,19262;9217,317408;0,000744
11951,75556;2349,134301;50610,76996;1422,842853;124,347853;2820,549651;0,00103
12727,31004;4670,508718;51339,2461;2283,082905;31,301263;3181,888873;0,001372
19205,77954;9624,686652;54975,14754;762,713345;85,2203;5896,007388;0,001606
15831,59682;9224,062952;52614,96846;1754,123044;234,768537;2815,562826;0,000887
7208,172553;2420,511084;52324,49612;577,163741;55,238116;9203,560846;0,002342
15454,88328;7146,176605;57879,03019;595,113848;434,651192;11361,16359;0,001692
21191,5903;11478,46788;41916,94487;496,785164;326,380058;20937,86905;0,002718
14172,10938;6750,22181;43135,81997;250,171074;96,011093;11264,04532;0,002966
5085,061451;3851,478467;45077,53867;635,917435;132,270223;6159,661245;0,001605
12134,76187;7157,957078;44199,40078;294,246049;294,246049;6217,984095;0,001192
7810,240767;7304,664007;44889,1496;882,486792;137,386723;7665,726586;0,00181
14602,8228;6799,980793;47109,44216;523,65511;21,278578;13588,51126;0,003006
9681,346943;5492,554973;45819,29439;1560,368479;257,519905;1025,454355;0,000349
13138,4064;4656,58893;43061,24469;191,072026;191,072026;13291,66476;0,002051
7893,819879;1388,707196;40077,61096;245,567289;245,567289;15904,14878;0,001555
2077,455648;1825,805671;44947,8928;7672,739892;164,891278;16162,95895;0,001339
10181,2576;2256,899999;48578,63863;8335,577389;543,765598;23942,33254;0,001269
10138,68495;2535,878649;44333,09941;2254,743413;233,394123;13044,17306;0,001849
14176,12678;3741,682859;47149,22006;4894,939018;633,442257;7653,177078;0,000822
12125,41114;563,220723;28111,58489;6082,681057;342,332595;16100,57038;0,001215
10027,15768;3382,548078;26431,90449;5958,01172;218,516915;8168,635271;0,001313
11063,82814;2396,964634;27958,79171;4612,19516;46,774463;11830,17339;0,001198
6544,248045;1000,791542;25052,96157;5178,178497;481,319646;15069,49633;0,001232
2372,906677;2372,906677;58650,3151;2682,213775;496,06666;4458,243388;0,000995
6572,456481;4852,590574;59936,24476;1150,434435;311,802031;9003,622166;0,001478
12781,98358;1625,621701;59298,36765;2620,832805;483,270625;6519,684264;0,001478
10432,07184;1083,519923;60956,96341;2075,922595;319,495625;6591,789056;0,001162
9244,751135;3762,129768;62369,63657;1293,574649;186,142041;7841,798849;0,001105
4704,714221;4704,714221;79858,09161;4574,609318;4574,609318;0;0
2132,830729;2132,830729;72046,75417;1607,768103;503,509783;8892,601076;0,001356
5042,940629;5042,940629;74791,76587;1076,098003;416,993116;7278,89019;0,001142
9601,471415;3407,097999;74628,8684;97,149759;97,149759;9744,580274;0,001277
19502,99395;2859,017465;76871,57144;25,153179;25,153179;3782,061708;0,000437
15213,32041;4161,640165;58650,56655;1294,479466;119,592075;3265,273314;0,00167
18360,31029;829,620711;57541,67076;1771,322506;348,370811;1456,306169;0,000402
18068,43414;2826,519813;57934,59904;3720,914251;835,802946;7087,901005;0,001068
24701,31262;5872,907733;59904,25717;3901,907661;295,824573;8743,713194;0,001064
23208,8018;6124,10103;55858,53505;1363,023043;54,145403;3514,922464;0,000678
22743,5849;2872,852695;74475,16775;416,691036;416,691036;8336,984289;0,001688
20502,211;1848,565029;72557,29726;813,282738;221,837309;10758,26468;0,001817
12748,61928;5780,278795;72856,67206;1236,386381;261,069022;9993,17177;0,002427
10595,2273;3536,00168;72343,63998;4818,192068;254,484651;9551,350354;0,001183
9992,07718;4938,104766;74011,72585;3166,921815;105,99531;8827,964051;0,000863
12727,82166;4309,081219;76682,98487;6161,535802;2779,018651;0;0
11324,85832;3100,052367;61229,3454;66,405229;66,405229;6630,628719;0,000734
13456,40853;6343,260437;62833,1535;2580,523509;718,139802;1575,989136;0,000495
7680,04657;4023,565133;65407,7323;4474,768031;530,908261;3421,346194;0,001126
14017,9327;3640,936603;64091,69931;3758,733467;217,599454;5326,640099;0,000939
7595,556532;1980,269116;63818,69419;2121,642029;179,128282;2338,585205;0,000688
10052,99766;3294,384504;70429,97334;1025,775147;32,175182;16622,3064;0,002043
9795,926595;2733,536554;74641,9484;2279,588262;245,88349;8598,240383;0,001448
12583,63553;4671,646538;76706,51675;2630,046346;297,693844;5896,794159;0,000844
20769,58906;3471,852835;74384,45171;3894,672276;90,607784;5118,520155;0,001025
23807,04862;1909,520222;71763,7891;2433,293352;230,975547;20886,39749;0,002707
28012,42925;1329,482962;64630,26575;784,17116;56,178674;7381,452322;0,001514
29874,9164;1943,289679;65972,06681;4032,353043;821,393247;4630,936699;0,000738
26253,12986;1823,214404;63825,72707;450,454999;107,885435;6781,357358;0,002249
23465,199;1593,631361;66010,26971;2145,878618;413,904392;3511,784328;0,000671
24513,29864;3347,517969;65065,61515;1063,25099;42,779016;9274,877191;0,001434
26374,29759;3467,105718;65159,51835;1035,441099;772,35454;8518,217569;0,001139
21804,50406;5829,147663;67041,49651;255,143597;28,188756;16997,8267;0,007986
18186,32771;2599,705731;67542,82074;720,394477;139,267085;9731,997229;0,001848
18053,01838;379,664668;80723,96456;3650,443612;2051,678885;5,589067;0
21092,59095;4247,957699;79029,67101;25,777272;25,777272;7669,783601;0,001007
18039,17993;5994,922033;79605,04427;335,997077;335,997077;15019,65658;0,001635
13605,91205;1485,01965;77304,70466;1531,714336;13,281716;19955,96458;0,002193
13936,65779;1782,280238;80136,68402;1202,602912;3,536095;12349,18192;0,001016
16331,60489;2130,191142;76761,59189;1107,002897;448,14487;18463,7209;0,001517
18328,71514;3031,856941;68664,18929;694,835601;188,033546;4056,807838;0,000655
12856,79834;2716,525608;68287,05309;1939,152672;396,863621;5398,82423;0,001049
16535,48721;1680,000614;71000,32222;710,730894;486,424342;13584,38152;0,002358
19630,18038;4244,330982;67762,62198;2274,350786;643,433658;0;0
20094,86323;2361,569147;77254,19944;3590,219799;3590,219799;0;0
15741,84082;2306,365543;74062,13291;654,457846;654,457846;5792,236817;0,000947
15155,33772;3023,946926;71869,15382;679,26331;123,205511;8462,150775;0,001689
16460,08956;4482,746135;71276,38099;792,769227;557,52029;12084,29282;0,00198
14415,09619;3070,620082;73309,04856;160,46475;160,46475;9632,89082;0,00096
15351,83964;1205,918883;60179,18929;6650,289865;669,346681;3018,937875;0,000256
17596,1671;1168,398943;57279,71879;4486,005103;549,863506;3295,090472;0,000621
15923,97344;3873,230725;54070,01326;1466,268463;230,94346;9152,061409;0,001328
10397,67451;2167,486651;55876,21271;2521,704972;87,773993;5446,345273;0,000832
4501,465691;4044,332549;64723,38955;1714,594129;600,980739;8640,108002;0,001063
11569,02719;3877,885895;61618,9485;4081,201611;387,592045;6786,50379;0,000968
10431,14236;1789,208665;62606,73898;2147,536366;1152,643031;12943,52122;0,001212
12755,78762;3301,708039;64047,24941;1631,192333;247,185532;11579,70776;0,001637
